Corpus,Prompt,dataset,data column,data column classification,data value column,data value,Visual Task,ambiguous term,ambiguity reason,data transforms-keyword,data Transforms,new column name,derivation specified
Quda,are the students who are younger more likely to use wechat ?,student_social,,,,,,,,,,,
Quda,which movie is the highest -grossing ?,top-movies,,,,,,,,,,,
Quda,give me the average population rating for ashley in the year 2000 .,co-est2002-01-05,,,,,,,,,,,
Quda,"using the three types of avocado 's sales ratio , provide the groups of regions",avocado,,,,,,,,,,,
Quda,tell me the numbers of the transferred players in different leagues in the 2010 -2011 season .,top250-00-19,,,,,,,,,,,
Quda,can the actors nationality impact the outcome ?,golden_globe_awards,,,,,,,,,,,
Quda,show me the app that costs the most .,googleplaystore,,,,,,,,,,,
Quda,"in terms of length , how long is "" beautiful people "" ?",top50,,,,,,,,,,,
Quda,"based on the number of matches , can you tell me what the distribution of cities is ?",International football results from 1872 to 2019,,,,,,,,,,,
Quda,can you tell me which students have fathers that are teachers ?,student-mat,,,,,,,,,,,
Quda,is there a relationship between the android version of an app and its installations ?,googleplaystore,,,,,,,,,,,
Quda,what was the total amount of goals scored in the game that liverpool played in ?,shooting_player_info,,,,,,,,,,,
Quda,use the final exam as the first keyword and midterm exam as the second keyword to rank all the students .,grade-records,,,,,,,,,,,
Quda,"of fiction books , which are written in english ?",google_books_dataset,,,,,,,,,,,
Quda,could you tell me if there is any correlation between the number of undergraduate and postgraduate students ?,Undergraduate_Postgraduate,,,,,,,,,,,
Quda,what is the number of clinics that are in mara ?,HFS,,,,,,,,,,,
Quda,name the country that scores the least on trust .,World Happiness Report 2015,,,,,,,,,,,
Quda,"indicate the number of likes that "" plush - bad unboxing fan mail "" receives .",JPvideos,,,,,,,,,,,
Quda,"show me the scope , among all the students , of the cw2 score .",grade-records,,,,,,,,,,,
Quda,could you buy a player with his market value higher than a transfer fee ?,top250-00-19,,,,,,,,,,,
Quda,in what manner are good air quality records dispersed throughout the monitored region ?,air_quality_Nov2017,,,,,,,,,,,
Quda,are there any outliers in pm10 readings from a temporal perspective ?,air_quality_Nov2017,,,,,,,,,,,
Quda,what is the range across all the countries in terms of economy ?,World Happiness Report 2015,,,,,,,,,,,
Quda,tell me which genres were mentioned .,top50,,,,,,,,,,,
Quda,does life expectancy have any relation with the percentage of smokers ?,life-expectancy-by-state,,,,,,,,,,,
Quda,what is the total number of all suicides in 1999 ?,Suicide,,,,,,,,,,,
Quda,"organize the countries based on happiness score , with the score limit on each group being 10 .",World Happiness Report 2015,,,,,,,,,,,
Quda,"in cw1 , how many students achieved the feat of 100% , or full marks ?",grade-records,,,,,,,,,,,
Quda,work out the quality of o3,air_quality_Nov2017,,,,,,,,,,,
Quda,put the readings in order according to their pm 10 values .,air_quality_Nov2017,,,,,,,,,,,
Quda,"show me the most recent version of androids "" discover color "" .",googleplaystore,,,,,,,,,,,
Quda,tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,bike,,,,,,,,,,,
Quda,please review this dataset and tell me which authors it includes .,google_books_dataset,,,,,,,,,,,
Quda,"what is the number if likes from the "" plush - bad unboxing fan mail "" video ?",JPvideos,,,,,,,,,,,
Quda,what is the average transfer_fee for players who transferred to the premier league ?,top250-00-19,,,,,,,,,,,
Quda,is distribution for pm10 value anything other than normal ?,air_quality_Nov2017,,,,,,,,,,,
Quda,list center -backs by what their transfer_fee was .,top250-00-19,,,,,,,,,,,
Quda,retrieve the students with fathers who work as teachers .,student-mat,,,,,,,,,,,
Quda,show me the distribution of the health score as it is presented in different regions .,World Happiness Report 2015,,,,,,,,,,,
Quda,can you tell me how mara attributes are distributed ?,marry,,,,,,,,,,,
Quda,"when taking different android versions into account , does that have any impact on installation ?",googleplaystore,,,,,,,,,,,
Quda,rank the grades from highest to lowest according to the average score .,grade-records,,,,,,,,,,,
Quda,what 's the distribution of the entire hfs ?,HFS,,,,,,,,,,,
Quda,would there be any clustering of countries in terms of suicide rates,Suicide,,,,,,,,,,,
Quda,which region has the lowest population ratio of hf ?,HFS,,,,,,,,,,,
Quda,is the male to female ratio more imbalanced in the last decade in russia ?,life-expectancy-by-state,,,,,,,,,,,
Quda,create a list showing the ages of people who committed suicide in albania .,Suicide,,,,,,,,,,,
Quda,show me the relationship between age and travel time .,bike,,,,,,,,,,,
Quda,tell me the youngest students in the dataset .,student-mat,,,,,,,,,,,
Quda,show me a day with extremely bad air quality .,air_quality_Nov2017,,,,,,,,,,,
Quda,tell me the average gdp of countries in western europe .,World Happiness Report 2015,,,,,,,,,,,
Quda,"for the gdp of china , has it gone up or down over the last decade ?",Suicide,,,,,,,,,,,
Quda,the games are sorted by experts by their date,shooting_player_info,,,,,,,,,,,
Quda,give me a list of all the free business apps that have received rating that were higher than a 4.5 .,googleplaystore,,,,,,,,,,,
Quda,can you tell me the state which may have the largest average population in the next year ?,sub-est2002-01,,,,,,,,,,,
Quda,can you tell me the attribute ' 'rating ' ' be affected ' 'installation,googleplaystore,,,,,,,,,,,
Quda,is the speed of economic development relative to the population of each country ?,life-expectancy-by-state,,,,,,,,,,,
Quda,which player was the oldest that was transferred ?,top250-00-19,,,,,,,,,,,
Quda,what is the distribution of the leagues who paid for transferred players in 2010 ?,top250-00-19,,,,,,,,,,,
Quda,is the running time of movies recently longer than it used to be ?,netflix_titles,,,,,,,,,,,
Quda,"barcelona 's districts , please list each .",births,,,,,,,,,,,
Quda,tell me the types of jobs the student 's mothers have .,student-mat,,,,,,,,,,,
Quda,how many books have been released by dark horse comics ?,google_books_dataset,,,,,,,,,,,
Quda,state the average income of postgraduate students in each country .,Undergraduate_Postgraduate,,,,,,,,,,,
Quda,what 's the price distribution in beauty apps ?,googleplaystore,,,,,,,,,,,
Quda,discover the most liked removed video,JPvideos,,,,,,,,,,,
Quda,what days had really bad air quality ?,air_quality_Nov2017,,,,,,,,,,,
Quda,can you provide a list of school names in geita ?,schools,,,,,,,,,,,
Quda,can you tell me if there is a correlation between revenue and the release year ?,top-movies,,,,,,,,,,,
Quda,determine if there are any schools in neighboring regions that have similar avg_m .,schools,,,,,,,,,,,
Quda,what is the distribution of all births in all districts between 2013 and 2017 ?,births,,,,,,,,,,,
Quda,can you tell me what peacland english medium school 's change pre is in 2016 ?,schools,,,,,,,,,,,
Quda,enter the regions from this table .,HFS,,,,,,,,,,,
Quda,does this data represent outliers in the number of patients ?,Genetic disease,,,,,,,,,,,
Quda,look for the region that has the most people living in it .,HFS,,,,,,,,,,,
Quda,"which app has a rating that doesn 't follow a trend between installations , rating and number of reviews ?",googleplaystore,,,,,,,,,,,
Quda,organize the countries by their region .,World Happiness Report 2015,,,,,,,,,,,
Quda,give me the count of missing readings in this table .,air_quality_Nov2017,,,,,,,,,,,
Quda,what is the number of postgraduate students for each year ?,Undergraduate_Postgraduate,,,,,,,,,,,
Quda,"show me the data attribute that has the most na values , for example the hardest data points to collect",air_quality_Nov2017,,,,,,,,,,,
Quda,identify the county that has the least population each year .,co-est2002-01-05,,,,,,,,,,,
Quda,the chart teaches them the horsepower range .,vehicle-info,,,,,,,,,,,
Quda,what is the most expensive book and who published it ?,google_books_dataset,,,,,,,,,,,
Quda,can you tell me the median score of the cw1 class ?,grade-records,,,,,,,,,,,
Quda,"for all the regions , can you show me the pattern of the happiness score ?",World Happiness Report 2015,,,,,,,,,,,
Quda,"of all countries , how is the gdp distribution ?",Suicide,,,,,,,,,,,
Quda,list the values of kwema modern pr . school 's change_p in all the years .,schools,,,,,,,,,,,
Quda,what is the app with the most abnormal pattern ?,googleplaystore,,,,,,,,,,,
Quda,do you know the median score of all students in cw1 ?,grade-records,,,,,,,,,,,
Quda,are there an unusually high number of reviews for any of the apps ?,googleplaystore,,,,,,,,,,,
Quda,do movie tags and duration have a connection ?,netflix_titles,,,,,,,,,,,
Quda,what is the distribution of the number based on shape of installations ?,googleplaystore,,,,,,,,,,,
Quda,determine if the running time of movies has increased in recent years .,netflix_titles,,,,,,,,,,,
Quda,are there are special characters included in the title ?,JPvideos,,,,,,,,,,,
Quda,is there an effect on price caused by the app 's genre ?,googleplaystore,,,,,,,,,,,
Quda,how are gdp and mteu correlated ?,european-gdp-and-containerized-tra-2,,,,,,,,,,,
Quda,what are all the countries that have a happiness score similar to fineland . 5 is an acceptable error score,World Happiness Report 2015,,,,,,,,,,,
Quda,what was the number of candidates that were nominated for best performance by an actor in a motion picture -drama at he 60th ceremony ?,golden_globe_awards,,,,,,,,,,,
Quda,what is the range of economy across all the countries,World Happiness Report 2015,,,,,,,,,,,
Quda,what is the average population in 2000 ?,co-est2002-01-05,,,,,,,,,,,
Quda,what neighborhood had 56 boys born in 2017 ?,births,,,,,,,,,,,
Quda,what schools have similar avg_m in the neighboring region ?,schools,,,,,,,,,,,
Quda,how many students received an a ?,grade-records,,,,,,,,,,,
Quda,describe the change in air quality over one day . describe the change in each air pollutant .,air_quality_Nov2017,,,,,,,,,,,
Quda,show a list of similarly rated books .,google_books_dataset,,,,,,,,,,,
Quda,take out the regions with a number of patients larger than 500 .,Genetic disease,,,,,,,,,,,
Quda,show me a university that has more than 30 faculties and more than 50 teachers ?,top-50-us-universities,,,,,,,,,,,
Quda,is there a correlation between apps with more installations and higher ratings ?,googleplaystore,,,,,,,,,,,
Quda,rank countries high to low by their family score .,World Happiness Report 2015,,,,,,,,,,,
Quda,can we conclude that higher happiness comes from higher freedom ?,World Happiness Report 2015,,,,,,,,,,,
Quda,what group of nations of have the most games ?,International football results from 1872 to 2019,,,,,,,,,,,
Quda,remove any regions with a population ratio of hf lower than 1.5 .,HFS,,,,,,,,,,,
Quda,what songs of the pop genrea has sam smith released ?,top50,,,,,,,,,,,
Quda,show me the dates that netflix released movies .,netflix_titles,,,,,,,,,,,
Quda,do videos with longer titles get more attention ?,JPvideos,,,,,,,,,,,
Quda,show me the gdp ranking of european countries .,life-expectancy-by-state,,,,,,,,,,,
Quda,are you aware of any clustering of the seasons in which players were transferred to the premier league ?,top250-00-19,,,,,,,,,,,
Quda,what is the total number of movies released in the year 1998 ?,golden_globe_awards,,,,,,,,,,,
Quda,rank these clubs by their shooting attempts .,shooting_player_info,,,,,,,,,,,
Quda,can you tell me what movie won best original score in a motion picture in 1997 ?,golden_globe_awards,,,,,,,,,,,
Quda,universities with similar number of teachers,top-50-us-universities,,,,,,,,,,,
Quda,does any movies not have a description ?,netflix_titles,,,,,,,,,,,
Quda,could you search all available values for pm10 quality .,air_quality_Nov2017,,,,,,,,,,,
Quda,"to cluster the states in the us , i wish to use middle income .",life-expectancy-by-state,,,,,,,,,,,
Quda,the population range needs to be discovered .,HFS,,,,,,,,,,,
Quda,select all cw1 scores not less than 80% .,grade-records,,,,,,,,,,,
Quda,what is the correlation between the nomination and the age of a star ?,golden_globe_awards,,,,,,,,,,,
Quda,"in each year , what is the distribution of the number of postgraduates ?",Undergraduate_Postgraduate,,,,,,,,,,,
Quda,"tell me the most pricey apps by release date , recent to oldest .",googleplaystore,,,,,,,,,,,
Quda,provide the distribution of the sales in 2015 of type 4046 .,avocado,,,,,,,,,,,
Quda,what dimension of the happiness index has the maximum fluctuation ?,World Happiness Report 2015,,,,,,,,,,,
Quda,find out any app that is distinctive from the rest .,googleplaystore,,,,,,,,,,,
Quda,arrange the students by grade and furnish me with a list .,grade-records,,,,,,,,,,,
Quda,"looking at the number of people in all regions with a visual impairment , what is the median ?",Genetic disease,,,,,,,,,,,
Quda,what countries have won a similar number of games ?,International football results from 1872 to 2019,,,,,,,,,,,
Quda,are the o3 value and the pm10 value dependent on each other ?,air_quality_Nov2017,,,,,,,,,,,
Quda,do all the countries in africa have a lower average pci than all the countries in europe ?,life-expectancy-by-state,,,,,,,,,,,
Quda,"across the monitored region , what is the distribution of records for good air quality ?",air_quality_Nov2017,,,,,,,,,,,
Quda,produce a list of book titles published during the current year .,google_books_dataset,,,,,,,,,,,
Quda,is there a typical film lengths group ?,top-movies,,,,,,,,,,,
Quda,retrieve the country that has had a sudden decrease in happiness score within a year .,World Happiness Report 2015,,,,,,,,,,,
Quda,list the top 10 gaming apps sorted from highest to lowest installations .,googleplaystore,,,,,,,,,,,
Quda,i 'm wondering would the travel time decrease for students if they spent more time studying ?,student-mat,,,,,,,,,,,
Quda,do you know of any trip that would take longer than 1000 minutes ?,bike,,,,,,,,,,,
Quda,the universities cover which locations ?,top-50-us-universities,,,,,,,,,,,
Quda,are there singers who span multiple genres ?,top50,,,,,,,,,,,
Quda,"across all regions , what is the happiness score pattern ?",World Happiness Report 2015,,,,,,,,,,,
Quda,can you tell me the price distribution of all the beauty apps ?,googleplaystore,,,,,,,,,,,
Quda,has there been an increase or decrease in the gdp of china over the last 10 years,Suicide,,,,,,,,,,,
Quda,does the value distribution of albinism look skewed ?,Genetic disease,,,,,,,,,,,
Quda,at what point was data added to the table for netflix ?,netflix_titles,,,,,,,,,,,
Quda,which of these school have a pass rate of over 90 ?,schools,,,,,,,,,,,
Quda,what is the distribution of the total points of the students ?,grade-records,,,,,,,,,,,
Quda,the health score is highest in which country ?,World Happiness Report 2015,,,,,,,,,,,
Quda,what is the teacher distribution of new york universities ?,top-50-us-universities,,,,,,,,,,,
Quda,would teachers in harvard be considered outliers if the university was in new york ?,top-50-us-universities,,,,,,,,,,,
Quda,"tell me about the "" plush - bad unboxing fan mail "" video .",JPvideos,,,,,,,,,,,
Quda,was the same midterm exam given to velma paul and glynis caine ?,grade-records,,,,,,,,,,,
Quda,is the total attribute of one area equal to the sum of the other attributes in any area ?,marry,,,,,,,,,,,
Quda,name any apps that can support any version of android lower than 4.0 .,googleplaystore,,,,,,,,,,,
Quda,the highest health score is held by which country ?,World Happiness Report 2015,,,,,,,,,,,
Quda,is there an obvious clustering ?,Genetic disease,,,,,,,,,,,
Quda,what is the number of divisions in harvard university ?,top-50-us-universities,,,,,,,,,,,
Quda,would more time spent on studying reduce travel time for students ?,student-mat,,,,,,,,,,,
Quda,could you tell me the continental location of the poorest ( lowest income ) country ?,life-expectancy-by-state,,,,,,,,,,,
Quda,can you show me how the likes are distributed ?,JPvideos,,,,,,,,,,,
Quda,do you feel that midfield players have a lower market value than front court players ?,top250-00-19,,,,,,,,,,,
Quda,dark horse comic has how many books ?,google_books_dataset,,,,,,,,,,,
Quda,"when looking at the average income in european countries , what is the variance ?",life-expectancy-by-state,,,,,,,,,,,
Quda,what are the minimum and maximum populations of the chinese provinces ?,life-expectancy-by-state,,,,,,,,,,,
Quda,kindly rate the regions on the basis of the number of patients,Genetic disease,,,,,,,,,,,
Quda,do any regions have their population ratio over 2.0 hf ?,HFS,,,,,,,,,,,
Quda,please help me identify the least common age .,student-mat,,,,,,,,,,,
Quda,"how much revenue did "" titanic "" earn ?",top-movies,,,,,,,,,,,
