mixtral_query,mixtral_positive match,mixtral_llm match,mixtral_gt match,mixtral_resolution positive match,mixtral_resolution llm match,mixtral_resolution gt match,mixtral_ambiguity similarity match,mixtral_resolution similarity match
how much was sold each day for each category,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average profit for each state,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the relationship between profit and sales,,,,,,,,
what is the average profit of each ship mode divided by segment,,,,,,,,
what is the sales forecast for each date,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many orders were placed for each order quantity,,,,,,,,
what is the relationship between sales and profit for each region,,,,,,,,
how many orders were placed for each sub-category,,,,,,,,
"what is the total profit for each region, based on ship status",,,,,,,,
what is the sales trend of the different product categories,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many products have 3 or more quantity ordered,,,,,,,,
how many products are ordered in single quantity,,,,,,,,
density of sales across regions and their profitability,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what are the profits across different states,,,,,,,,
what product category has more orders placed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
sales forecast between jan 2016 and july 2017,,Ambiguity found by llm only,,,Resolution found by llm only,,,
i want to know how many orders there are by the quantity of the order,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is our profit based on shipping mode by customer segment,,,,,,,,
what is the sales vs profit ratio of the four regions,,,,,,,,
what is the average profit of each state,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the sales vs profit ratio of all the zones,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average profit of different segments on the ship modes of transport,,,,,,,,
how much is the profit for sales for each,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the correlation between sales and profit by region,,,,,,,,
can you create a graph showing sales and profit by region,,,,,,,,
"from all of the universities in london, list the one who has the most faculties",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.44438404,
show me a university that has more than 30 faculties and more than 50 teachers,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4655035,0.5614363
universities with similar number of teachers,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"from all of the universities in london, list the one who has the most faculties",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.44438404,
the universities cover which locations,,,,,,,,
what is the teacher distribution of new york universities,,Ambiguity found by llm only,,,Resolution found by llm only,,,
would teachers in harvard be considered outliers if the university was in new york,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5886358,0.08480399
what is the number of divisions in harvard university,,,Ambiguity found by gt only,,,Resolution found by gt only,,
which movie is the highest-grossing,,,,,,,,
do you feel that midfield players have a lower market value than front court players,,,Ambiguity found by gt only,,,Resolution found by gt only,,
can you tell me if there is a correlation between revenue and the release year,,,,,,,,
is there a typical film lengths group,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.62002337,
in the premier league how are the transferred players ages distributed,,,,,,,,
tell me a reason why top backcourt players have a higher market value than the top frontcourt player,,Ambiguity found by llm only,,,,,,
which player had an abnormal transfer_fee,,,,,,,,
how old was david when he was transferred in 2010,,,,,,,,
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010鈥毭劽011",,,,,,,,
"for the center forward position, what was the highest market value for the 2011-2012 season",,,,,,,,
tell me the numbers of the transferred players in different leagues in the 2010-2011 season,,,,,,,,
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010‚äì2011",,,,,,,,
could you buy a player with his market value higher than a transfer fee,,,,,,,,
what is the average transfer_fee for players who transferred to the premier league,,,,,,,,
list center-backs by what their transfer_fee was,,,,,,,,
which player was the oldest that was transferred,,,,,,,,
what is the distribution of the leagues who paid for transferred players in 2010,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are you aware of any clustering of the seasons in which players were transferred to the premier league,,,,,,,,
"if you were to average it out, how upbeat would you say the songs are",,,,,,,,
describe the popularity of the loudest song,,,,,,,,
can you help me find some popular songs,,,,,,,,
"in terms of length, how long is ' beautiful people '",,,,,,,,
what songs of the pop genrea has sam smith released,,,,,,,,
are there singers who span multiple genres,,,,,,,,
determine in what year the income of undergraduate students was higher,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how are postgraduate student numbers distributed every year,,,,,,,,
could you tell me if there is any correlation between the number of undergraduate and postgraduate students,,,,,,,,
state the average income of postgraduate students in each country,,,,,,,,
what is the number of postgraduate students for each year,,,,,,,,
"in each year, what is the distribution of the number of postgraduates",,,,,,,,
the chart teaches them the horsepower range,,,,,,,,
name me a country that's happiness score does not coincide with the region it belongs to,,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me the country with the lowest trust score,,,,,,,,
is there a correlation between happiness scores and other attributes,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"what countries, other than finland, have higher happiness scores and lower gdp",,,,,,,,
can you tell me the area in the previous decade that increased rapidly in the happiness score,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.39590275,
"can you tell me, in terms of economy, what is the range across all countries",,,,,,,,
show me any clustering there may be in the gdp that has a happiness score of larger than 5,,Ambiguity found by llm only,,,Resolution found by llm only,,,
within the last year have any countries experienced a sudden decrease in happiness score,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.3384187,0.19058388
can you tell me the range of happiness score in western europe,,,,,,,,
"out of all the countries, which ones have a happiness score higher then finland",,,,,,,,
can you tell me in what range will the number of countries in each region fall,,,,,,,,
please identify the parameters of the happiness score in western europe,,,,,,,,
show all the countries with happiness scores higher than 5,,,,,,,,
name the continent that contains the greatest number of countries that are top 10 on the happiness index,,,,,,,,
do any countries have happiness scores that don 't match with their gdp,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"of all the countries trust score, which country has the lowest",,,,,,,,
name the country that scores the least on trust,,,,,,,,
what is the range across all the countries in terms of economy,,,,,,,,
"organize the countries based on happiness score, with the score limit on each group being 10",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.42466563,
show me the distribution of the health score as it is presented in different regions,,,,,,,,
tell me the average gdp of countries in western europe,,,,,,,,
organize the countries by their region,,,,,,,,
"for all the regions, can you show me the pattern of the happiness score",,Ambiguity found by llm only,,,Resolution found by llm only,,,
what are all the countries that have a happiness score similar to fineland 5 is an acceptable error score,,,,,,,,
what is the range of economy across all the countries,,,,,,,,
rank countries high to low by their family score,,,,,,,,
can we conclude that higher happiness comes from higher freedom,,,,,,,,
what dimension of the happiness index has the maximum fluctuation,Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.35411268,
retrieve the country that has had a sudden decrease in happiness score within a year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"across all regions, what is the happiness score pattern",,Ambiguity found by llm only,,,Resolution found by llm only,,,
the health score is highest in which country,,,,,,,,
the highest health score is held by which country,,,,,,,,
please help me identify the least common age,,,,,,,,
